ID,Start time,Completion time,Email,Name,"Do you work, or have you worked, in healthcare?
For example in a hospital or care centre","In your work, how often are you involved in high-stakes decision making?

By ""high-stakes decision making"" we mean making decisions that are highly impactful.
High  stakes decisions occur in many ...","How experienced are you with AI?

1: I haven't worked with AI, or don't know if I've worked with AI

5: I have used AI tools, but don't know how they work

10: I have researched or developed AI, o...","How much, on a scale of 1 to 10, do you trust the diagnosis of Dr Medicine?","How much, on a scale of 1 to 10, do you trust the diagnosis of Dr Medicine when working with HawkAI?","How much, on a scale of 1 to 10, would you trust the diagnosis of Dr Medicine when working with HouseAI?","How much, on a scale of 1 to 10, would you trust the diagnosis of the AI tool HouseAI when working by itself?"
226,3/24/22 23:45:47,3/24/22 23:48:44,anonymous,,Yes,2,10,7,8,9,8
227,3/24/22 23:58:50,3/25/22 0:00:36,anonymous,,No,4,8,7,5,9,8
228,3/25/22 0:05:06,3/25/22 0:06:38,anonymous,,No,10,10,6,6,6,7
229,3/25/22 0:28:29,3/25/22 0:32:06,anonymous,,No,4,10,8,8,9,9
230,3/25/22 0:38:27,3/25/22 0:41:13,anonymous,,No,5,10,9,9,9,7
231,3/25/22 0:46:34,3/25/22 0:50:04,anonymous,,No,3,10,7,9,7,5
232,3/25/22 0:55:31,3/25/22 0:58:58,anonymous,,No,1,8,7,9,8,6
233,3/25/22 1:01:52,3/25/22 1:04:29,anonymous,,No,9,9,8,9,8,8
234,3/25/22 1:29:26,3/25/22 1:35:23,anonymous,,No,1,10,10,10,10,10
235,3/25/22 2:20:21,3/25/22 2:23:06,anonymous,,Yes,5,3,5,6,7,6
236,3/25/22 2:40:06,3/25/22 2:41:38,anonymous,,No,1,7,6,8,7,5
237,3/25/22 3:10:34,3/25/22 3:14:19,anonymous,,No,4,8,8,8,9,9
238,3/25/22 3:26:59,3/25/22 3:28:44,anonymous,,No,5,10,8,9,9,7
239,3/25/22 3:39:39,3/25/22 3:40:48,anonymous,,No,3,8,5,3,2,1
240,3/25/22 4:03:51,3/25/22 4:06:29,anonymous,,No,1,10,8,9,9,9
241,3/25/22 5:32:13,3/25/22 5:33:38,anonymous,,No,1,10,9,9,9,8
242,3/25/22 6:08:38,3/25/22 6:11:14,anonymous,,No,1,10,7,9,9,5
243,3/25/22 6:45:18,3/25/22 6:47:06,anonymous,,No,1,6,9,9,9,7
244,3/25/22 7:23:56,3/25/22 7:25:20,anonymous,,No,6,10,9,10,10,6
245,3/25/22 7:48:13,3/25/22 7:50:10,anonymous,,No,1,10,7,9,7,5
246,3/25/22 7:56:53,3/25/22 7:59:54,anonymous,,No,7,10,5,7,5,7
247,3/25/22 8:05:45,3/25/22 8:10:16,anonymous,,Yes,5,1,10,10,10,8
248,3/25/22 8:46:04,3/25/22 8:48:42,anonymous,,Yes,5,10,8,9,5,4
249,3/25/22 9:07:20,3/25/22 9:10:08,anonymous,,Yes,2,7,10,9,8,6
250,3/25/22 9:30:53,3/25/22 9:32:07,anonymous,,No,1,10,8,5,4,1
251,3/25/22 9:52:13,3/25/22 10:00:09,anonymous,,Yes,5,3,7,9,8,8
252,3/25/22 11:13:37,3/25/22 11:16:56,anonymous,,Yes,6,3,5,5,3,1
253,3/25/22 11:29:43,3/25/22 11:32:01,anonymous,,Yes,10,7,8,8,9,9
254,3/25/22 9:12:13,3/25/22 12:06:46,anonymous,,Yes,4,6,8,9,9,5
255,3/25/22 14:04:28,3/25/22 14:08:49,anonymous,,No,2,8,8,7,9,8
256,3/25/22 14:22:59,3/25/22 14:27:16,anonymous,,No,1,7,9,9,10,4
257,3/25/22 14:38:14,3/25/22 14:41:13,anonymous,,Yes,10,10,7,9,7,6
258,3/25/22 15:14:20,3/25/22 15:15:47,anonymous,,No,3,5,8,9,7,3
259,3/25/22 18:10:01,3/25/22 18:12:06,anonymous,,No,3,10,8,9,7,4
260,3/25/22 18:56:05,3/25/22 18:58:15,anonymous,,No,5,10,9,9,9,3
261,3/25/22 18:56:57,3/25/22 19:00:33,anonymous,,No,1,8,8,6,2,2
262,3/25/22 21:39:29,3/25/22 21:41:59,anonymous,,Yes,9,6,6,9,9,8
263,3/26/22 6:58:43,3/26/22 7:00:32,anonymous,,No,3,7,8,9,9,9
264,3/28/22 9:54:04,3/28/22 9:56:39,anonymous,,Yes,7,4,8,8,6,7
265,3/28/22 9:59:02,3/28/22 10:02:23,anonymous,,Yes,5,4,8,8,5,5
266,3/28/22 8:35:53,3/28/22 10:23:48,anonymous,,Yes,7,7,8,9,9,9
267,3/28/22 11:30:09,3/28/22 11:32:07,anonymous,,No,5,10,8,8,9,9
268,3/28/22 12:10:09,3/28/22 12:21:53,anonymous,,Yes,10,6,7,9,9,9
269,3/28/22 13:35:20,3/28/22 13:37:14,anonymous,,Yes,10,7,9,10,9,9
270,3/28/22 14:04:09,3/28/22 14:07:10,anonymous,,Yes,9,9,7,8,8,7
271,3/28/22 14:40:08,3/28/22 16:18:09,anonymous,,Yes,5,10,1,2,5,5
272,3/29/22 10:04:57,3/29/22 10:07:40,anonymous,,Yes,4,4,8,9,5,6
273,3/29/22 11:18:47,3/29/22 11:22:26,anonymous,,Yes,1,1,8,6,8,8
274,3/29/22 11:56:20,3/29/22 13:16:26,anonymous,,Yes,2,2,7,8,6,4
275,3/30/22 17:01:16,3/30/22 17:04:14,anonymous,,No,7,6,9,9,8,8
276,3/30/22 21:12:37,3/30/22 21:14:34,anonymous,,No,3,10,8,9,7,6
277,3/31/22 10:12:50,3/31/22 10:16:25,anonymous,,No,1,10,8,9,10,10
278,3/31/22 11:35:34,3/31/22 11:38:18,anonymous,,Yes,5,1,8,9,9,9
279,4/1/22 8:24:06,4/1/22 8:27:46,anonymous,,Yes,5,5,5,6,7,7
280,4/1/22 11:51:49,4/1/22 11:55:00,anonymous,,Yes,5,7,9,8,6,6
281,4/1/22 15:56:31,4/1/22 15:58:53,anonymous,,Yes,8,5,8,9,9,9
282,4/4/22 10:35:25,4/4/22 10:45:33,anonymous,,Yes,5,1,8,8,9,1
283,4/4/22 13:27:33,4/4/22 13:30:57,anonymous,,Yes,8,1,9,10,9,9
